date,open,high,low,close,adjClose,volume
2023-04-25,64.40,65.00,61.30,61.80,59.63,"341,000"
2023-04-24,64.50,65.60,63.60,63.90,61.65,"209,000"
2023-04-21,67.40,68.00,64.50,64.50,62.23,"467,000"
2023-04-20,70.30,70.30,67.60,67.60,65.22,"588,000"
2023-04-19,71.20,71.70,69.30,69.70,67.25,"1,016,000"
2023-04-18,73.00,76.00,70.20,70.30,67.83,"2,720,000"
2023-04-17,66.40,72.90,65.80,72.90,70.34,"1,529,000"
2023-04-14,68.80,68.80,66.20,66.30,63.97,"593,000"
2023-04-13,68.20,69.50,67.80,68.20,65.80,"1,459,000"
2023-04-12,66.40,67.40,65.30,67.30,64.93,"636,000"
2023-04-11,66.00,67.60,65.20,66.40,64.06,"1,538,000"
2023-04-10,65.00,65.00,62.40,63.80,61.56,"1,074,000"
2023-04-07,69.10,69.60,65.90,66.80,64.45,"759,000"
2023-04-06,70.00,71.20,69.60,69.60,67.15,"685,000"
2023-03-31,71.60,72.00,70.20,70.70,68.21,"1,353,000"
2023-03-30,69.00,70.00,67.50,69.80,67.35,"1,268,000"
2023-03-29,68.60,72.60,67.00,69.00,66.57,"2,617,000"
2023-03-28,68.00,68.40,65.00,68.00,65.61,"1,956,000"
2023-03-27,62.50,67.90,62.20,67.70,65.32,"3,040,000"
2023-03-24,60.00,61.80,59.50,61.80,59.63,"1,120,000"
2023-03-23,55.80,56.70,55.60,56.20,54.22,"66,000"
2023-03-22,55.00,56.00,55.00,55.80,53.84,"128,000"
2023-03-21,53.60,54.40,53.50,54.30,52.39,"78,000"
2023-03-20,54.10,54.60,53.10,53.50,51.62,"49,000"
2023-03-17,53.70,54.10,53.40,54.00,52.10,"42,000"
2023-03-16,53.90,54.20,53.40,53.60,51.71,"70,000"
2023-03-15,54.90,54.90,53.90,54.00,52.10,"39,000"
2023-03-14,54.60,54.60,54.00,54.20,52.29,"46,000"
2023-03-13,55.20,55.30,54.50,54.70,52.78,"95,000"
2023-03-10,56.20,56.30,55.80,56.10,54.13,"23,000"
2023-03-09,56.60,56.60,56.20,56.20,54.22,"33,000"
2023-03-08,56.90,56.90,56.50,56.50,54.51,"41,000"
2023-03-07,57.50,57.50,56.50,56.80,54.80,"30,000"
2023-03-06,57.00,57.00,56.00,56.70,54.71,"25,000"
2023-03-03,56.40,56.90,56.40,56.60,54.61,"42,000"
2023-03-02,56.10,56.10,55.70,55.70,53.74,"21,000"
2023-03-01,56.50,56.50,55.80,55.90,53.93,"75,000"
2023-02-24,56.70,56.90,56.10,56.40,54.42,"65,000"
2023-02-23,56.70,56.80,56.30,56.80,54.80,"55,000"
2023-02-22,57.20,57.20,55.20,56.40,54.42,"134,000"
2023-02-21,57.80,58.50,57.60,58.10,56.06,"89,000"
2023-02-20,57.40,57.40,57.00,57.40,55.38,"29,000"
2023-02-17,57.00,57.30,56.70,57.00,55.00,"25,000"
2023-02-16,57.00,57.30,56.80,57.10,55.09,"58,000"
2023-02-15,56.50,56.50,56.00,56.50,54.51,"31,000"
2023-02-14,56.20,56.70,56.00,56.40,54.42,"35,000"
2023-02-13,56.10,56.90,55.70,56.30,54.32,"23,000"
2023-02-10,57.00,57.00,55.50,56.10,54.13,"148,000"
2023-02-09,57.10,57.10,56.60,57.00,55.00,"145,000"
2023-02-08,57.50,58.50,57.10,58.30,56.25,"136,000"
2023-02-07,57.20,57.60,56.90,57.40,55.38,"36,000"
2023-02-06,57.50,57.60,56.80,57.60,55.57,"51,000"
2023-02-03,57.40,57.60,57.20,57.60,55.57,"47,000"
2023-02-02,57.30,57.70,57.10,57.40,55.38,"56,000"
2023-02-01,56.90,57.00,56.00,56.90,54.90,"60,000"
2023-01-31,56.70,57.10,56.50,56.60,54.61,"43,000"
2023-01-30,55.30,56.80,55.30,56.80,54.80,"122,000"
2023-01-17,54.30,55.20,54.30,54.60,52.68,"50,000"
2023-01-16,54.00,54.80,54.00,54.60,52.68,"19,000"
2023-01-13,54.40,54.50,53.60,54.10,52.20,"47,000"
2023-01-12,54.80,54.90,54.50,54.50,52.58,"20,000"
2023-01-11,54.80,55.10,54.50,54.70,52.78,"20,000"
2023-01-10,54.60,55.90,54.60,54.80,52.87,"41,000"
2023-01-09,54.70,56.00,54.20,55.00,53.07,"178,000"
2023-01-06,53.40,53.80,53.20,53.40,51.52,"36,000"
2023-01-05,53.80,54.50,53.30,53.60,51.71,"29,000"
2023-01-04,53.40,54.20,53.30,53.50,51.62,"36,000"
2023-01-03,53.00,53.40,52.50,53.10,51.23,"45,000"
2022-12-30,52.40,52.90,52.20,52.40,50.56,"24,000"
2022-12-29,51.90,52.40,51.80,52.40,50.56,"18,000"
2022-12-28,52.00,52.50,51.80,51.90,50.07,"135,000"
2022-12-27,53.10,53.10,51.40,52.10,50.27,"657,000"
2022-12-26,53.60,53.60,52.60,53.10,51.23,"73,000"
2022-12-23,53.90,53.90,53.30,53.60,51.71,"8,000"
2022-12-22,53.70,54.50,53.20,53.90,52.00,"29,000"
2022-12-21,53.10,53.40,52.90,53.40,51.52,"20,000"
2022-12-20,54.20,54.20,52.50,53.40,51.52,"113,000"
2022-12-19,54.60,55.20,53.90,54.00,52.10,"87,000"
2022-12-16,55.30,55.30,54.50,55.20,53.26,"43,000"
2022-12-15,55.50,55.60,55.00,55.60,53.64,"24,000"
2022-12-14,54.50,55.80,54.50,55.80,53.84,"30,000"
2022-12-13,55.40,55.40,54.30,54.40,52.49,"85,000"
2022-12-12,56.00,56.50,54.70,55.40,53.45,"167,000"
2022-12-09,58.00,58.00,56.20,56.40,54.42,"198,000"
2022-12-08,58.50,59.20,58.50,59.20,57.12,"11,000"
2022-12-07,60.00,60.50,58.40,58.50,56.44,"88,000"
2022-12-06,61.00,61.00,60.00,60.40,58.28,"36,000"
2022-12-05,61.60,61.60,60.60,61.00,58.85,"75,000"
2022-12-02,58.70,60.80,58.70,60.60,58.47,"104,000"
2022-12-01,59.00,59.30,58.20,58.50,56.44,"36,000"
2022-11-30,58.50,58.50,57.90,58.00,55.96,"34,000"
2022-11-29,58.00,58.20,57.60,58.10,56.06,"50,000"
2022-11-28,59.00,59.00,58.20,58.70,56.64,"26,000"
2022-11-25,59.50,59.60,58.80,59.10,57.02,"22,000"
2022-11-24,58.90,60.90,58.90,59.90,57.79,"137,000"
2022-11-23,57.70,59.10,57.70,58.50,56.44,"42,000"
2022-11-22,56.50,57.90,56.40,57.10,55.09,"41,000"
2022-11-21,58.70,58.70,56.70,56.70,54.71,"107,000"
2022-11-18,59.70,60.00,58.60,58.70,56.64,"93,000"
2022-11-17,59.60,60.00,59.00,59.60,57.50,"51,000"
2022-11-16,60.30,60.30,59.00,59.00,56.92,"79,000"
2022-11-15,61.40,61.70,59.30,60.00,57.89,"58,000"
2022-11-14,61.60,61.80,61.00,61.10,58.95,"50,000"
2022-11-11,61.50,61.80,59.80,61.80,59.63,"217,000"
2022-11-10,61.00,61.20,59.60,60.70,58.57,"128,000"
2022-11-09,61.50,63.00,61.50,62.60,60.40,"36,000"
2022-11-08,62.20,62.80,61.50,61.50,59.34,"41,000"
2022-11-07,62.90,62.90,61.60,61.80,59.63,"52,000"
2022-11-04,62.00,62.70,61.60,62.00,59.82,"58,000"
2022-11-03,59.30,61.70,59.30,61.00,58.85,"64,000"
2022-11-02,58.30,59.80,58.20,59.60,57.50,"44,000"
2022-11-01,57.50,59.10,57.50,58.30,56.25,"84,000"
2022-10-31,56.70,58.50,56.70,57.50,55.48,"90,000"
2022-10-28,57.50,57.50,56.60,56.60,54.61,"33,000"
2022-10-27,57.80,58.10,57.50,58.10,56.06,"45,000"
2022-10-26,58.60,58.60,56.80,57.30,55.28,"71,000"
2022-10-25,58.20,58.30,55.80,58.10,56.06,"163,000"
2022-10-24,58.40,58.80,58.20,58.20,56.15,"14,000"
2022-10-21,58.40,58.80,58.20,58.20,56.15,"12,000"
2022-10-20,57.70,59.00,57.70,58.40,56.35,"25,000"
